EPISODE	TIME_ELAPSED	TOTAL_REWARD
0	2050	-258.1128978580773
1	856	-253.48002172198736
2	1784	-237.90844945263936
3	2061	1321.7207358560295
4	936	-250.02505511211314
5	762	-254.2049204671555
6	1449	-252.3569455033965
7	1715	-369.29634571465317
8	965	-250.40538771025405
9	959	-254.9433059197768
10	2399	141.96870502226403
11	623	-250.19370669494685
12	2336	-299.9898306289627
13	1466	-96.82215301382905
14	1900	-259.3145364255287
15	1751	-245.3928726766086
16	1926	-119.26738977968294
17	1255	-252.76682153985385
18	2792	-133.21620985939822
19	1931	-332.6210495157097
20	1184	-268.8152822248487
21	1519	645.2682325328972
22	1821	-157.86377502218303
23	842	-251.5326110697667
24	2578	-366.7706185260125
25	2765	739.0425190625702
26	1565	-338.77713413488436
27	2099	-167.7504144938061
28	1540	-382.89900815919486
29	1488	-386.37763605289985
30	1145	-257.4278494322673
31	1298	-174.83909981040682
32	682	-251.20851116642243
33	1397	-189.93492845936805
34	2413	-200.63171961331955
35	1421	-133.06913485221423
36	5178	-68.20950198922765
37	2310	-289.5334173515835
38	904	-257.662035966286
39	1499	-261.70154117507127
40	1175	-148.37083701167674
41	1578	-190.1670540003505
42	833	-263.70361359611957
43	1738	-258.03652899635364
44	1220	-251.70180737856256
45	689	-250.51460940156383
46	1521	-294.7401321789015
47	2119	-251.65935863405156
48	1688	-359.853831863169
49	1487	-251.70731211880613
50	1857	-257.382352698234
51	4315	-116.10117008442403
52	2266	-224.36950397394781
53	3450	-389.79814662931904
54	1572	-253.44819040083914
55	1526	-326.56048301026397
56	3401	-351.00985393306513
57	2545	-250.9736651652559
58	2263	-252.0958044689167
59	2030	-250.2401564505933
60	1662	-320.56790616882887
61	2122	-280.22275579940856
62	2952	-119.2318102395096
63	1490	-139.87923698971332
64	1200	-261.40111171129706
65	5646	-249.78818764650336
66	2223	-235.14658233509027
67	1590	-296.4883463537469
68	1897	-174.72441667832808
69	3849	-332.80346836430465
70	1840	-260.54090146902104
71	2746	-239.07743406340845
72	2391	-146.01204826742827
73	1928	-188.10552124450257
74	1301	-298.3085933329936
75	1928	-252.17772366246726
76	2178	-275.8878445985311
77	2730	-169.9634031734476
78	1933	487.5232147761824
79	2316	-221.75139386138633
80	2548	-228.61299214837172
81	1307	-164.93934649962603
82	1333	-110.97629297974399
83	3686	-220.7705946661737
84	2274	-116.99886071222966
85	3882	-218.83042700261805
86	2032	-123.18181853781053
87	2454	-165.39803456830464
88	1469	-262.71657667435164
89	1988	-142.78303018731003
90	3092	-61.197087958814876
91	2009	-160.28394872140933
92	6706	-167.80243879358483
93	1505	-195.88917626253402
94	3107	-170.51435180316838
95	3414	-128.8392162639861
96	2150	-322.03199934172403
97	4686	-191.15933815419282
98	4191	-263.29343078679364
99	2553	-240.36303082345867
100	1411	-173.796727551884
101	1528	-145.21039482369045
102	1971	-232.38392781181818
103	1684	-255.71501305883058
104	1672	-130.4513581712889
105	1717	-235.41948440860813
106	1498	-220.2400045734105
107	1806	-324.9202693115361
108	1780	-199.0930533928696
109	1693	-255.4553762198097
110	2227	-187.94640068646538
111	1745	-258.108079162854
112	2104	776.1601583938748
113	2312	-191.61692599532614
114	3406	877.6632751087966
115	2235	-279.18604791582106
116	1874	-233.94112051999485
117	1641	-234.3753528829556
118	3681	-22.24177862646232
119	1740	976.7688349177294
120	2039	-237.05473018796687
121	2897	-110.38886264277764
122	1789	786.4065092765954
123	8003	198.50230856726233
124	1809	982.2494821944796
125	8003	-9.420509390958665
126	8009	261.0781469309073
127	1964	-132.80125537439204
128	7659	960.1946960004826
129	3988	-352.29166038275673
130	5119	-33.381283765320745
131	3405	-159.98493574698045
132	8001	170.74755653134324
133	2121	-171.26446324624763
134	2098	-283.2671495650884
135	2223	-201.35617854703665
136	2310	678.1493286641386
137	2262	-133.26566398641785
138	6542	-115.76856689160117
139	2397	-295.74028289678876
140	6472	-160.74192820640087
141	4031	-10.975127535061858
142	2507	-118.3121795105482
143	2957	-150.7617579384846
144	2158	-191.52631456719246
145	1843	-185.6673391432124
146	1712	-207.69764917516608
147	2614	-81.10813397701025
148	1268	-219.05308240264088
149	4193	-221.68156236937264
150	8015	70.84531288496922
151	6635	-165.15986096022522
152	2102	-151.1102460177987
153	1585	-153.84769439201432
154	2095	-133.03884273091228
155	8041	168.43413451794925
156	4380	962.3237700549943
157	7043	-298.8699964723845
158	3027	-97.3530458110561
159	2643	-114.65085041241406
160	5886	-91.7380134254997
161	1698	-123.32016854482275
162	1750	872.6653583552676
163	1579	956.8681741022428
164	3145	-103.73082321728215
165	8002	157.91154749947773
166	2801	902.0670170375855
167	2044	710.5211566526905
168	4623	923.9587130723598
169	1692	-240.4897233274184
170	2009	-189.34088025826742
171	3492	-85.96353572161634
172	1887	-177.50292147947076
173	3173	-126.51095788326377
174	2313	-129.95636580765674
175	1507	-176.66121768660787
176	8001	217.07112177088788
177	1765	920.0737438139199
178	1741	737.7966315519739
179	1425	841.4073120148605
180	3549	-5.373655740186905
181	1452	-155.73443640055734
182	2130	-197.77301442493595
183	6113	988.7780950518879
184	4050	-257.4038571079894
185	3924	-143.62070059347784
186	5216	-159.98172826047886
187	3389	897.5548203202632
188	1620	708.0678399773328
189	7438	-127.60836179853635
190	2989	-245.5857352278449
191	1624	-174.87547809634967
192	2274	-11.998655624989254
193	8009	241.84166917790589
194	3058	-199.3073363492036
195	2737	-84.19153418895685
196	2195	-305.41495693667525
197	5385	921.558405894165
198	1889	-109.88032562877171
199	8009	270.4025906333815
200	2399	-121.03467870894282
201	2415	-367.6198552187396
202	3085	-160.3446290165279
203	6767	-88.00562916341701
204	2469	-140.84004612840513
205	2171	-102.06381580186596
206	4334	-68.06215132378725
207	7763	995.7739143836502
208	8005	267.2334739365844
209	8001	249.43117722777143
210	8014	166.493796075814
211	1878	-21.023641675117517
212	8001	349.1570185591406
213	2222	-278.8380568394518
214	1831	-87.92661867616948
215	5776	974.6232648440655
216	8002	91.97184383520676
217	3443	1057.4203142429624
218	1342	754.9684901658319
219	8007	98.11711579241458
220	8008	167.5517343262419
221	8012	117.49375403803296
222	2244	715.9409068385298
223	2211	-171.05249745667965
224	3933	916.7055972722569
225	1437	-152.49476855112562
226	8008	29.720032195721124
227	1829	768.8422611148247
228	8010	104.38105585357985
229	1756	966.0705434867764
230	8003	72.4603610234723
231	6758	910.5348421276713
232	4663	-163.61700013950892
233	8000	306.891053045165
234	7617	-175.53330547338328
235	2284	-119.97648526623507
236	8001	25.17969150268754
237	4695	938.9404044255385
238	8013	69.92582173405665
239	3833	29.525521334873417
240	8003	255.86662110850017
241	8058	221.97732551149778
242	1337	779.3469547518141
243	8018	143.5953904961132
244	8009	169.42013143227553
245	8000	184.65199823856904
246	4213	-277.20363593014275
247	8009	196.65643167548126
248	3244	1012.9338248584472
249	8008	276.322062102932
250	8001	236.40106690111298
251	1623	778.068231553788
252	8005	21.010037567749695
253	4434	940.1460394757789
254	8015	89.47862271467
255	1267	-184.94478659576313
256	1496	917.8352303902
257	6231	942.1246998830177
258	1300	944.9107842190668
259	1626	734.6782069123522
260	8021	135.74351309047148
261	5020	-64.87948202290397
262	8009	71.47306405202016
263	8021	204.15962026827592
264	8017	242.41972124579314
265	8015	34.75276730140851
266	2280	-81.13129562107576
267	1879	-139.37271447503616
268	8013	159.78417500357946
269	8009	180.3365798708665
270	8006	357.9187565796753
271	8016	253.68616651346045
272	3953	-59.22193296307016
273	8008	166.71672392746225
274	2994	898.0090644050388
275	4251	868.9580483774873
276	8015	116.45106797586928
277	8010	99.98543470432793
278	8016	215.02286798403162
279	8013	91.33563299515167
280	8005	137.51238600093285
281	8009	230.9530656237467
282	8005	174.22722161664186
283	8042	178.568124205096
284	8011	213.99716104927913
285	1799	-277.73176648400647
286	6713	957.6990325725719
287	7119	958.0291359834406
288	5117	968.978607022921
289	8016	205.66790589866991
290	8001	289.3623572045392
291	8017	124.463017602979
292	8013	107.37889528220421
293	5421	-65.89666112334382
294	8009	182.4279891090203
295	8007	230.87657367741366
296	8000	270.44318488657325
297	1242	-164.9818983679197
298	3176	-96.3531541806149
299	1733	724.9884410007985
300	2701	-228.50085120838645
301	1945	-198.14678211466253
302	1781	994.9333490529436
303	8000	231.5859684584624
304	2509	-85.55838966950503
305	2616	-238.81558767407137
306	8006	142.00317083528446
307	2373	-273.47040373927285
308	8017	58.94535457502468
309	3426	-45.82396641597492
310	8014	227.76700682744905
311	1312	-185.82401560204664
312	1468	-142.9723074506824
313	4713	946.3970465116531
314	2305	949.3385843151341
315	8033	214.58154972799048
316	8002	208.50698886462484
317	4889	-48.68809657583938
318	1867	918.0312713934158
319	8015	151.53324991611626
320	1741	1020.3493507453684
321	2403	959.4890492751422
322	8008	296.8573215427036
323	1489	-203.352522491739
324	8004	270.11498081207685
325	8013	310.8436324416907
326	8004	73.87284975906387
327	7236	914.550956520902
328	1324	789.5789360291236
329	4148	962.1109764545213
330	8011	132.1014262304083
331	5418	1011.3984172864486
332	8010	163.4029445952621
333	8011	153.7216341252699
334	2359	890.9645168726631
335	8018	241.6929640726579
336	5849	937.7794350829555
337	3015	-21.03950413701625
338	8010	171.58741039078103
339	2130	-116.57864682176513
340	8016	233.22796462314992
341	5832	886.9417289003402
342	3262	928.5991293773183
343	8039	77.14404285799863
344	8001	366.4297724424802
345	1696	-213.6219839390893
346	8009	44.48246520574157
347	8014	90.79211146769795
348	1767	809.4574683143312
349	3513	992.9561414228696
350	8022	125.71248550159598
351	8002	60.42086971364834
352	8013	127.40585772158755
353	8002	190.03384836815925
354	1932	-212.11358407393476
355	8018	202.21334186414163
356	8012	208.94782725937682
357	1382	-172.09354195430794
358	3425	1042.2203449391727
359	2537	-95.69651600527428
360	8011	230.22079510054218
361	8007	137.25002322570543
362	1828	758.1507212473194
363	3221	852.5502585490675
364	8000	151.08552154766423
365	2775	-72.94263276286745
366	8005	283.6536414356373
367	8015	184.5995734846952
368	8005	148.46219606283194
369	6132	938.729256933161
370	4958	949.2222737797119
371	2820	-18.172973638656202
372	8004	192.63942937301763
373	8006	245.58522152119653
